easting,northing,plot_name
307083.97,5350646.417,1910S1P1B
307127.1743,5350725.82,1910S1P1C
306918.245,5350603.643,1910S1P2B
306937.4133,5350615.891,1910S1P2C
306862.3507,5350353.722,1910S1P3B
306896.3971,5350382.402,1910S1P3C
275657.8662,5387473.099,1926S1P1B
275688.4138,5387517.823,1926S1P1C
275576.2898,5387540.255,1926S1P2B
275608.0248,5387544.588,1926S1P2C
275508.073,5387599.509,1926S1P3B
275538.4032,5387637.841,1926S1P3C
279451.6493,5377722.321,1929S1P1B
279494.5982,5377732.285,1929S1P1C
279416.4212,5377912.707,1929S1P2B
279440.2138,5377917.132,1929S1P2C
279473.1907,5378077.275,1929S1P3B
279497.2656,5378087.809,1929S1P3C
269253.4331,5390702.041,MO01S1P1B
269281.1516,5390727.571,MO01S1P1C
269102.1822,5390525.409,MO01S1P2B
269126.3666,5390551.28,MO01S1P2C
269164.2493,5390635.403,MO01S1P3B
269190.414,5390658.3,MO01S1P3C
270127.955,5390790.353,MO01S2P1B
270161.0295,5390829.133,MO01S2P1C
270320.0476,5390824.208,MO01S2P2B
270344.3618,5390848.921,MO01S2P2C
270449.2037,5390808.873,MO01S2P3B
270480.0248,5390831.39,MO01S2P3C
261106.9992,5410138.428,RB88S1P1B
261124.7682,5410159.189,RB88S1P1C
261000.3311,5410150.877,RB88S1P2B
261025.3734,5410176.413,RB88S1P2C
261092.7558,5410264.074,RB88S1P3B
318950.1107,5396138.253,RE06S1P1B
318969.6228,5396173.845,RE06S1P1C
319201.9968,5396103.205,RE06S1P2B
319227.3534,5396132.315,RE06S1P2C
319411.682,5396314.946,RE06S1P3B
319432.6763,5396339.486,RE06S1P3C
280897.7208,5382689.902,RO03S1P1B
280925.595,5382718.524,RO03S1P1C
280830.6489,5382613.012,RO03S1P2B
280855.1107,5382623.406,RO03S1P2C
281025.4845,5382812.927,RO03S1P3B
281050.7988,5382838.066,RO03S1P3C
279187.0613,5383089.778,RO03S2P1B
279213.3157,5383103.64,RO03S2P1C
279155.577,5383003.573,RO03S2P2B
279238.9201,5383158.419,RO03S2P3B
279265.056,5383177.753,RO03S2P3C
279185.195,5383023.881,RO03S2P2C
293753.2644,5404020.959,TR03S1P1B
293778.5167,5404042.034,TR03S1P1C
293651.1514,5404116.526,TR03S1P2B
293675.204,5404154.558,TR03S1P2C
293539.6025,5404242.659,TR03S1P3B
293563.5481,5404253.846,TR03S1P3C